,ruido,frec_obs,periodo,n_seg,n_meses,ok
1662,0.8,21,240,20,9,True
1663,0.8,21,240,20,12,False
1664,0.8,21,270,20,3,True
1665,0.8,21,270,20,6,True
1666,0.8,21,270,20,9,True
1667,0.8,21,270,20,12,True
1668,0.8,21,300,20,3,True
1669,0.8,21,300,20,6,True
1670,0.8,21,300,20,9,False
1671,0.8,21,300,20,12,True
1672,0.8,21,330,20,3,True
1673,0.8,21,330,20,6,False
1674,0.8,21,330,20,9,True
1675,0.8,21,330,20,12,True
1676,0.8,21,360,20,3,False
1677,0.8,21,360,20,6,True
1678,0.8,21,360,20,9,True
1679,0.8,21,360,20,12,True
1680,0.8,28,30,20,3,False
1681,0.8,28,30,20,6,False
1682,0.8,28,30,20,9,False
1683,0.8,28,30,20,12,False
1684,0.8,28,60,20,3,False
1685,0.8,28,60,20,6,False
1686,0.8,28,60,20,9,False
1687,0.8,28,60,20,12,False
1688,0.8,28,90,20,3,True
1689,0.8,28,90,20,6,False
1690,0.8,28,90,20,9,True
1691,0.8,28,90,20,12,True
1692,0.8,28,120,20,3,False
1693,0.8,28,120,20,6,False
1694,0.8,28,120,20,9,False
1695,0.8,28,120,20,12,False
1696,0.8,28,150,20,3,False
1697,0.8,28,150,20,6,True
1698,0.8,28,150,20,9,False
1699,0.8,28,150,20,12,False
1700,0.8,28,180,20,3,True
1701,0.8,28,180,20,6,False
1702,0.8,28,180,20,9,False
1703,0.8,28,180,20,12,True
1704,0.8,28,210,20,3,False
1705,0.8,28,210,20,6,True
1706,0.8,28,210,20,9,True
1707,0.8,28,210,20,12,True
1708,0.8,28,240,20,3,False
1709,0.8,28,240,20,6,True
1710,0.8,28,240,20,9,True
1711,0.8,28,240,20,12,True
1712,0.8,28,270,20,3,True
1713,0.8,28,270,20,6,True
1714,0.8,28,270,20,9,True
1715,0.8,28,270,20,12,True
1716,0.8,28,300,20,3,True
1717,0.8,28,300,20,6,True
1718,0.8,28,300,20,9,True
1719,0.8,28,300,20,12,False
1720,0.8,28,330,20,3,False
1721,0.8,28,330,20,6,False
1722,0.8,28,330,20,9,True
1723,0.8,28,330,20,12,True
1724,0.8,28,360,20,3,False
1725,0.8,28,360,20,6,False
1726,0.8,28,360,20,9,True
1727,0.8,28,360,20,12,True
1728,0.9,7,30,20,3,False
1729,0.9,7,30,20,6,True
1730,0.9,7,30,20,9,False
1731,0.9,7,30,20,12,False
1732,0.9,7,60,20,3,False
1733,0.9,7,60,20,6,False
1734,0.9,7,60,20,9,False
1735,0.9,7,60,20,12,False
1736,0.9,7,90,20,3,True
1737,0.9,7,90,20,6,False
1738,0.9,7,90,20,9,False
1739,0.9,7,90,20,12,True
1740,0.9,7,120,20,3,False
1741,0.9,7,120,20,6,True
1742,0.9,7,120,20,9,True
1743,0.9,7,120,20,12,True
1744,0.9,7,150,20,3,False
1745,0.9,7,150,20,6,True
1746,0.9,7,150,20,9,True
1747,0.9,7,150,20,12,True
1748,0.9,7,180,20,3,True
1749,0.9,7,180,20,6,True
1750,0.9,7,180,20,9,True
1751,0.9,7,180,20,12,True
1752,0.9,7,210,20,3,False
1753,0.9,7,210,20,6,True
1754,0.9,7,210,20,9,False
1755,0.9,7,210,20,12,True
1756,0.9,7,240,20,3,True
1757,0.9,7,240,20,6,True
1758,0.9,7,240,20,9,True
1759,0.9,7,240,20,12,True
