,ruido,frec_obs,periodo,n_seg,ok
1617,2.8000000000000003,15,1,20,False
1618,2.8000000000000003,15,31,20,False
1619,2.8000000000000003,15,61,20,True
1620,2.8000000000000003,15,91,20,True
1621,2.8000000000000003,15,121,20,False
1622,2.8000000000000003,15,151,20,True
1623,2.8000000000000003,15,181,20,True
1624,2.8000000000000003,15,211,20,True
1625,2.8000000000000003,15,241,20,False
1626,2.8000000000000003,15,271,20,True
1627,2.8000000000000003,15,301,20,True
1628,2.8000000000000003,15,331,20,True
1629,2.8000000000000003,22,1,20,False
1630,2.8000000000000003,22,31,20,False
1631,2.8000000000000003,22,61,20,False
1632,2.8000000000000003,22,91,20,False
1633,2.8000000000000003,22,121,20,True
1634,2.8000000000000003,22,151,20,False
1635,2.8000000000000003,22,181,20,True
1636,2.8000000000000003,22,211,20,True
1637,2.8000000000000003,22,241,20,False
1638,2.8000000000000003,22,271,20,False
1639,2.8000000000000003,22,301,20,True
1640,2.8000000000000003,22,331,20,True
1641,2.8000000000000003,29,31,20,False
1642,2.8000000000000003,29,61,20,False
1643,2.8000000000000003,29,91,20,False
1644,2.8000000000000003,29,121,20,False
1645,2.8000000000000003,29,151,20,True
1646,2.8000000000000003,29,181,20,True
1647,2.8000000000000003,29,211,20,False
1648,2.8000000000000003,29,241,20,True
1649,2.8000000000000003,29,271,20,True
1650,2.8000000000000003,29,301,20,True
1651,2.8000000000000003,29,331,20,True
1652,2.9000000000000004,1,1,20,False
1653,2.9000000000000004,1,31,20,False
1654,2.9000000000000004,1,61,20,False
1655,2.9000000000000004,1,91,20,True
1656,2.9000000000000004,1,121,20,True
1657,2.9000000000000004,1,151,20,True
1658,2.9000000000000004,1,181,20,True
1659,2.9000000000000004,1,211,20,True
1660,2.9000000000000004,1,241,20,True
1661,2.9000000000000004,1,271,20,True
1662,2.9000000000000004,1,301,20,True
1663,2.9000000000000004,1,331,20,True
1664,2.9000000000000004,8,1,20,False
1665,2.9000000000000004,8,31,20,True
1666,2.9000000000000004,8,61,20,True
1667,2.9000000000000004,8,91,20,True
1668,2.9000000000000004,8,121,20,True
1669,2.9000000000000004,8,151,20,True
1670,2.9000000000000004,8,181,20,True
1671,2.9000000000000004,8,211,20,True
1672,2.9000000000000004,8,241,20,False
1673,2.9000000000000004,8,271,20,True
1674,2.9000000000000004,8,301,20,True
1675,2.9000000000000004,8,331,20,True
1676,2.9000000000000004,15,1,20,False
1677,2.9000000000000004,15,31,20,False
1678,2.9000000000000004,15,61,20,False
1679,2.9000000000000004,15,91,20,True
1680,2.9000000000000004,15,121,20,True
1681,2.9000000000000004,15,151,20,True
1682,2.9000000000000004,15,181,20,True
1683,2.9000000000000004,15,211,20,False
1684,2.9000000000000004,15,241,20,True
1685,2.9000000000000004,15,271,20,False
1686,2.9000000000000004,15,301,20,True
1687,2.9000000000000004,15,331,20,True
1688,2.9000000000000004,22,1,20,False
1689,2.9000000000000004,22,31,20,False
1690,2.9000000000000004,22,61,20,False
1691,2.9000000000000004,22,91,20,False
1692,2.9000000000000004,22,121,20,True
1693,2.9000000000000004,22,151,20,False
1694,2.9000000000000004,22,181,20,True
1695,2.9000000000000004,22,211,20,True
1696,2.9000000000000004,22,241,20,True
1697,2.9000000000000004,22,271,20,True
1698,2.9000000000000004,22,301,20,True
1699,2.9000000000000004,22,331,20,True
1700,2.9000000000000004,29,31,20,False
1701,2.9000000000000004,29,61,20,False
1702,2.9000000000000004,29,91,20,False
1703,2.9000000000000004,29,121,20,True
1704,2.9000000000000004,29,151,20,False
1705,2.9000000000000004,29,181,20,False
1706,2.9000000000000004,29,211,20,True
1707,2.9000000000000004,29,241,20,True
1708,2.9000000000000004,29,271,20,True
1709,2.9000000000000004,29,301,20,True
1710,2.9000000000000004,29,331,20,True
1711,3.0000000000000004,1,1,20,False
1712,3.0000000000000004,1,31,20,True
1713,3.0000000000000004,1,61,20,True
1714,3.0000000000000004,1,91,20,True
1715,3.0000000000000004,1,121,20,True
1716,3.0000000000000004,1,151,20,True
1717,3.0000000000000004,1,181,20,True
1718,3.0000000000000004,1,211,20,True
1719,3.0000000000000004,1,241,20,True
1720,3.0000000000000004,1,271,20,True
1721,3.0000000000000004,1,301,20,True
1722,3.0000000000000004,1,331,20,True
1723,3.0000000000000004,8,1,20,False
1724,3.0000000000000004,8,31,20,True
1725,3.0000000000000004,8,61,20,True
1726,3.0000000000000004,8,91,20,True
1727,3.0000000000000004,8,121,20,False
1728,3.0000000000000004,8,151,20,False
1729,3.0000000000000004,8,181,20,True
1730,3.0000000000000004,8,211,20,True
1731,3.0000000000000004,8,241,20,True
1732,3.0000000000000004,8,271,20,True
1733,3.0000000000000004,8,301,20,True
1734,3.0000000000000004,8,331,20,False
1735,3.0000000000000004,15,1,20,False
1736,3.0000000000000004,15,31,20,False
1737,3.0000000000000004,15,61,20,False
1738,3.0000000000000004,15,91,20,True
1739,3.0000000000000004,15,121,20,False
1740,3.0000000000000004,15,151,20,False
1741,3.0000000000000004,15,181,20,True
1742,3.0000000000000004,15,211,20,False
1743,3.0000000000000004,15,241,20,True
1744,3.0000000000000004,15,271,20,True
1745,3.0000000000000004,15,301,20,True
1746,3.0000000000000004,15,331,20,True
1747,3.0000000000000004,22,1,20,False
1748,3.0000000000000004,22,31,20,False
1749,3.0000000000000004,22,61,20,False
1750,3.0000000000000004,22,91,20,False
1751,3.0000000000000004,22,121,20,False
1752,3.0000000000000004,22,151,20,False
1753,3.0000000000000004,22,181,20,False
1754,3.0000000000000004,22,211,20,True
1755,3.0000000000000004,22,241,20,True
1756,3.0000000000000004,22,271,20,True
1757,3.0000000000000004,22,301,20,False
1758,3.0000000000000004,22,331,20,True
1759,3.0000000000000004,29,31,20,False
1760,3.0000000000000004,29,61,20,False
1761,3.0000000000000004,29,91,20,False
