,ruido,frec_obs,periodo,n_seg,n_meses,ok
704,0.6000000000000001,21,270,20,3,False
705,0.6000000000000001,21,270,20,6,False
706,0.6000000000000001,21,270,20,9,True
707,0.6000000000000001,21,270,20,12,False
708,0.6000000000000001,21,300,20,3,True
709,0.6000000000000001,21,300,20,6,True
710,0.6000000000000001,21,300,20,9,True
711,0.6000000000000001,21,300,20,12,True
712,0.6000000000000001,21,330,20,3,True
713,0.6000000000000001,21,330,20,6,False
714,0.6000000000000001,21,330,20,9,True
715,0.6000000000000001,21,330,20,12,True
716,0.6000000000000001,21,360,20,3,True
717,0.6000000000000001,21,360,20,6,False
718,0.6000000000000001,21,360,20,9,True
719,0.6000000000000001,21,360,20,12,True
720,0.6000000000000001,28,30,20,3,True
721,0.6000000000000001,28,30,20,6,False
722,0.6000000000000001,28,30,20,9,False
723,0.6000000000000001,28,30,20,12,False
724,0.6000000000000001,28,60,20,3,False
725,0.6000000000000001,28,60,20,6,False
726,0.6000000000000001,28,60,20,9,False
727,0.6000000000000001,28,60,20,12,False
728,0.6000000000000001,28,90,20,3,False
729,0.6000000000000001,28,90,20,6,False
730,0.6000000000000001,28,90,20,9,False
731,0.6000000000000001,28,90,20,12,False
732,0.6000000000000001,28,120,20,3,False
733,0.6000000000000001,28,120,20,6,False
734,0.6000000000000001,28,120,20,9,False
735,0.6000000000000001,28,120,20,12,True
736,0.6000000000000001,28,150,20,3,True
737,0.6000000000000001,28,150,20,6,True
738,0.6000000000000001,28,150,20,9,True
739,0.6000000000000001,28,150,20,12,False
740,0.6000000000000001,28,180,20,3,False
741,0.6000000000000001,28,180,20,6,False
742,0.6000000000000001,28,180,20,9,True
743,0.6000000000000001,28,180,20,12,True
744,0.6000000000000001,28,210,20,3,False
745,0.6000000000000001,28,210,20,6,True
746,0.6000000000000001,28,210,20,9,False
747,0.6000000000000001,28,210,20,12,True
748,0.6000000000000001,28,240,20,3,True
749,0.6000000000000001,28,240,20,6,True
750,0.6000000000000001,28,240,20,9,True
751,0.6000000000000001,28,240,20,12,False
752,0.6000000000000001,28,270,20,3,True
753,0.6000000000000001,28,270,20,6,False
754,0.6000000000000001,28,270,20,9,False
755,0.6000000000000001,28,270,20,12,True
756,0.6000000000000001,28,300,20,3,True
757,0.6000000000000001,28,300,20,6,False
758,0.6000000000000001,28,300,20,9,True
759,0.6000000000000001,28,300,20,12,True
760,0.6000000000000001,28,330,20,3,False
761,0.6000000000000001,28,330,20,6,False
762,0.6000000000000001,28,330,20,9,True
763,0.6000000000000001,28,330,20,12,True
764,0.6000000000000001,28,360,20,3,False
765,0.6000000000000001,28,360,20,6,True
766,0.6000000000000001,28,360,20,9,True
767,0.6000000000000001,28,360,20,12,True
768,0.8,7,30,20,3,False
769,0.8,7,30,20,6,False
770,0.8,7,30,20,9,True
771,0.8,7,30,20,12,False
772,0.8,7,60,20,3,False
773,0.8,7,60,20,6,False
774,0.8,7,60,20,9,False
775,0.8,7,60,20,12,True
776,0.8,7,90,20,3,False
777,0.8,7,90,20,6,True
778,0.8,7,90,20,9,True
779,0.8,7,90,20,12,True
780,0.8,7,120,20,3,False
781,0.8,7,120,20,6,False
782,0.8,7,120,20,9,True
783,0.8,7,120,20,12,True
784,0.8,7,150,20,3,False
785,0.8,7,150,20,6,True
786,0.8,7,150,20,9,True
787,0.8,7,150,20,12,True
788,0.8,7,180,20,3,True
789,0.8,7,180,20,6,True
790,0.8,7,180,20,9,True
791,0.8,7,180,20,12,True
792,0.8,7,210,20,3,True
793,0.8,7,210,20,6,True
794,0.8,7,210,20,9,True
795,0.8,7,210,20,12,True
796,0.8,7,240,20,3,False
797,0.8,7,240,20,6,True
798,0.8,7,240,20,9,True
799,0.8,7,240,20,12,True
800,0.8,7,270,20,3,True
801,0.8,7,270,20,6,True
802,0.8,7,270,20,9,True
803,0.8,7,270,20,12,True
804,0.8,7,300,20,3,True
805,0.8,7,300,20,6,True
